,title,news_url,source_domain,tweet_num,real
0,10145,1833,972,42,1
1,14894,16046,2259,0,1
2,17402,11246,1435,63,1
3,4882,9889,1354,20,1
4,7046,17651,2419,38,1
5,7165,20186,1634,45,0
6,3741,17707,2430,124,0
7,1836,19541,1435,4,0
8,13720,8479,1172,59,1
9,10425,8295,1132,10,1
10,21358,16900,2303,18,1
11,13369,21653,2430,95,0
12,13090,7135,717,4,1
13,5087,3222,23,0,1
15,1038,19437,1427,63,0
16,5233,15554,2234,54,1
17,1416,16407,2302,64,1
18,18504,8169,1075,1,0
19,8417,545,444,19,0
20,14957,3605,168,120,1
21,1296,20975,2063,8,0
22,9725,10100,1354,91,1
23,2240,695,444,14,0
24,16293,13928,1812,47,1
25,638,7400,868,49,1
26,14960,16823,2303,1,1
27,2153,13684,1758,83,1
28,19855,9374,1293,83,1
29,112,16508,2303,1,1
30,18018,7076,715,74,1
31,11310,6349,715,1,1
32,20437,19353,1427,32,0
33,9151,13851,1812,30,1
34,18354,4600,328,64,1
35,7416,7756,1044,42,1
36,12904,19077,1354,16,0
37,20022,3731,235,51,1
38,1231,13328,1733,31,1
39,12440,14647,2029,0,1
40,10559,11097,1435,34,1
41,16103,1742,964,1,1
42,10375,9876,1354,27,1
43,13485,432,444,30,0
44,16279,21527,2336,115,0
45,21024,12665,1622,0,1
46,11610,10238,1354,2,1
47,1611,6345,715,35,1
48,11214,18171,715,26,0
49,2488,16617,2303,50,1
50,12759,7207,741,19,1
51,30,1162,203,1,1
52,15544,8484,1172,79,1
53,14400,7339,834,1,1
54,16576,9988,1354,0,1
55,17362,21138,2212,342,0
56,20734,14635,2022,44,1
57,15511,6795,715,70,1
58,10334,20328,1722,3,0
59,10099,15269,2176,65,1
60,12266,5672,715,93,1
61,8319,13922,1812,57,1
62,16702,4842,425,39,1
63,8572,8674,1207,28,1
64,2189,12254,1568,59,1
65,8642,19895,1609,4,0
66,17083,11693,1487,62,1
67,19041,3670,218,15,1
68,3665,6056,715,138,1
69,710,15780,2248,2,1
70,12603,21391,2303,12,0
71,4025,11753,1508,65,1
73,3239,16633,2303,12,1
74,16790,6780,715,74,1
75,8384,2073,1118,50,1
76,19159,6461,715,18,1
77,2848,21605,2402,6,0
78,11849,16547,2303,1,1
79,14374,3,18,60,0
80,2025,12355,1568,1,1
81,4014,15553,2234,50,1
82,19955,8706,1207,1,1
83,2968,4000,304,48,1
84,10838,6840,715,286,1
85,11173,21384,2303,139,0
86,5887,17800,578,24,0
88,13057,3372,62,27,1
89,14750,11302,1435,2,1
90,16823,10800,1411,50,1
91,589,14020,1851,1,1
92,211,17560,2390,6,1
93,20100,2254,1232,13,1
94,20114,9421,1300,48,1
95,11409,8487,1172,1,1
96,14018,12868,1635,63,1
97,2310,5530,691,45,1
98,1546,10884,1435,49,1
99,15970,781,444,3,0
100,19715,9565,1320,52,1
101,18513,8427,1162,25,1
102,2655,6663,715,32,1
103,16533,1435,652,147,1
104,4266,1176,225,73,1
105,11225,1089,176,1,1
106,13427,20143,1622,1,0
107,2760,9080,1254,37,1
108,16615,2216,1232,53,1
109,8150,5307,594,20,1
110,1172,16131,2286,36,1
111,18563,9142,1254,63,1
112,8560,19704,1542,319,0
113,17439,15121,2122,66,1
114,5897,9241,1279,66,1
115,15040,12086,1564,63,1
116,10706,10383,1354,115,1
117,17798,5854,715,20,1
118,18731,12571,1611,24,1
119,5998,18682,1172,28,0
120,21340,3859,247,25,1
121,12168,5374,631,70,1
122,16350,17018,2303,20,1
123,7312,8527,1181,1,1
124,3407,96,176,6,0
125,15868,10128,1354,67,1
126,651,6862,715,30,1
127,8094,4661,341,25,1
128,4852,10259,1354,13,1
129,7218,17012,2303,28,1
130,13089,2944,2144,55,1
131,6703,8644,1202,122,1
132,19862,10611,1385,2,1
133,9586,6319,715,52,1
134,3162,12093,1568,58,1
135,5208,4054,304,76,1
136,16770,6487,715,25,1
137,2410,15177,2149,29,1
138,13510,18603,1044,1015,0
139,19837,17628,2414,25,1
140,17287,8165,1075,35,0
141,3663,4015,304,57,1
142,18396,7465,911,51,1
143,6745,15648,2245,63,1
144,7171,19506,1435,14,0
145,3404,19188,1354,10,0
146,18426,8496,1173,110,1
147,6624,7261,765,54,1
148,5477,20750,1896,3,0
149,8574,5176,575,69,1
150,7480,4111,304,55,1
151,19523,7096,715,37,1
152,17029,15179,2149,13,1
153,18515,20609,1845,25,0
154,2223,9045,1254,0,1
155,7040,19670,1522,32,0
156,6188,2174,1232,72,1
157,17940,14245,1903,24,1
158,12906,3015,2279,1,1
159,14385,4845,429,53,1
160,20088,1146,198,73,1
161,9912,56,109,29,0
162,9148,4136,304,65,1
163,17042,11375,1435,73,1
164,19899,11561,1479,0,1
165,1904,12752,1630,83,1
166,4212,20160,1630,19,0
167,10356,21497,2324,2,0
168,14211,11606,1479,51,1
169,13553,18375,762,9,0
170,3448,21057,2194,29,0
171,2454,18679,1172,34,0
172,9554,8992,1250,2,1
173,6245,3884,277,78,1
174,9453,3007,2279,16,1
175,16874,455,444,11,0
176,10950,489,444,26,0
178,11359,1920,1003,55,1
179,8280,13185,1733,44,1
180,11459,18364,762,7,0
181,16747,14902,2057,59,1
182,6639,9593,1320,57,1
183,11040,11648,1485,99,1
184,15950,16839,2303,19,1
185,1585,5651,707,48,1
186,7800,2878,2023,40,1
187,13500,11171,1435,14,1
188,20508,21269,2270,1,0
189,18943,13341,1733,24,1
190,8894,19249,1362,1007,0
191,819,7307,806,25,1
192,16332,10398,1354,1,1
193,14111,9898,1354,74,1
194,17450,4322,304,31,1
195,18994,2822,1961,0,1
196,17194,6417,715,49,1
197,16650,18479,951,0,0
199,9039,18920,1297,5,0
200,17267,15310,2177,265,1
201,19989,1018,140,1,1
202,2315,9756,1331,67,1
203,10876,7559,967,0,1
204,10259,14180,1880,2,1
205,12790,9899,1354,41,1
206,16230,358,332,2,0
207,4338,16517,2303,69,1
208,14759,5292,578,1,1
209,8877,16267,2302,32,1
210,9299,16201,2299,2,1
211,19597,20678,1871,1,0
212,15836,18413,835,28,0
213,10349,11946,1542,57,1
214,18877,17217,2324,59,1
215,17544,3772,247,34,1
216,4527,10955,1435,79,1
217,5144,13444,1733,5,1
218,6536,2211,1232,32,1
219,8124,4119,304,32,1
220,8882,17813,578,0,0
222,5845,2395,1429,1,1
223,7336,13171,1733,59,1
224,20996,3827,247,68,1
225,260,12183,1568,9,1
226,11720,14425,1929,46,1
227,20988,15614,2245,70,1
228,7165,20186,1634,40,0
229,18318,8376,1160,33,1
231,11036,18995,1332,6,0
232,4924,20897,2007,1020,0
233,16749,1795,964,12,1
234,20262,12980,1674,9,1
235,7452,13938,1812,42,1
236,5274,19700,1542,19,0
237,13853,14014,1850,49,1
238,11193,977,140,56,1
239,16292,21306,2302,275,0
240,19168,6516,715,25,1
241,13521,5411,651,86,1
242,13963,17583,2400,39,1
243,7053,234,304,682,0
244,17284,5812,715,30,1
245,16379,9632,1326,61,1
246,18907,14770,2048,41,1
247,20684,18958,1317,201,0
249,615,7999,1075,55,1
250,15099,8254,1108,92,1
251,12510,20942,2048,66,0
252,12267,3485,73,90,1
253,18441,5402,643,1,1
254,705,1466,652,57,1
255,19973,4563,328,16,1
256,9177,21369,2303,338,0
257,15843,17929,684,10,0
258,10609,4165,304,21,1
259,19563,8006,1075,0,1
260,1716,13577,1733,36,1
261,2669,16623,2303,58,1
262,18837,19024,1331,1,0
263,15138,16359,2302,50,1
264,10177,754,444,21,0
265,6632,16470,2302,182,0
266,16338,2849,1989,13,1
267,13855,2842,1989,48,1
268,6911,13179,1733,2,1
269,9717,11080,1435,42,1
270,5989,8260,1113,112,1
271,5322,20502,1812,8,0
273,5738,14470,1948,43,1
274,18389,12567,1611,1,1
275,17574,9028,1250,43,1
276,2749,13147,1733,34,1
277,5763,1319,401,21,1
278,7747,172,247,68,0
279,14833,11514,1450,11,1
280,18226,13593,1733,38,1
281,19517,1194,249,0,1
282,3911,14931,2063,25,1
284,18461,17302,2328,46,1
285,15997,18946,1312,131,0
286,16918,10725,1411,1,1
288,21040,3845,247,52,1
289,15415,2365,1338,442,1
290,14103,14987,2079,13,1
291,5478,730,444,2,0
292,3092,11500,1444,59,1
293,3137,10324,1354,10,1
294,20292,9157,1254,52,1
295,5514,19186,1354,97,0
296,16397,5758,715,69,1
297,16827,585,444,74,0
298,11992,10518,1354,11,1
299,19352,1237,332,1,1
300,16187,16398,2302,54,1
301,17367,10746,1411,15,1
302,5439,18399,801,0,0
303,14,13443,1733,10,1
304,11077,21010,2134,4,0
305,8954,17431,2353,26,1
306,15541,17525,2377,15,1
307,5342,8753,1207,12,1
308,9668,4152,304,101,1
309,14542,5037,494,62,1
310,14943,8309,1140,67,1
311,20546,7114,715,9,1
312,18623,4359,304,62,1
313,20247,7593,990,16,1
314,3927,8814,1209,145,1
315,16952,10124,1354,27,1
316,13934,4258,304,29,1
317,6099,15314,2177,166,1
318,5628,9904,1354,100,1
319,21123,17369,2336,64,1
320,4869,15015,2085,0,1
321,10388,21124,2212,30,0
322,770,1405,577,48,1
323,3392,18907,1286,16,0
324,6969,10005,1354,18,1
325,8381,11518,1457,22,1
326,8796,965,140,63,1
327,21119,21095,2210,102,0
328,15789,9964,1354,16,1
329,1240,19684,1543,7,0
330,16347,7023,715,52,1
331,15310,11324,1435,3,1
332,6043,16384,2302,64,1
333,5935,10262,1354,0,1
334,8454,19566,1440,211,0
335,8526,18770,1233,14,0
336,14254,15559,2234,57,1
337,1203,1790,964,6,1
338,7179,11019,1435,1,1
339,18503,21171,2234,17,0
340,16489,12818,1630,20,1
341,8551,5256,575,772,1
342,12116,20467,1792,34,0
343,21019,4830,411,66,1
344,12418,9590,1320,32,1
345,11010,4966,444,62,1
346,10258,20744,1890,16,0
347,16565,7030,715,19,1
348,15583,16984,2303,13,1
349,14630,3199,5,36,1
350,15709,17676,2419,12,1
351,5207,3607,170,1,1
352,12257,251,304,1023,0
353,8733,18856,1282,5,0
354,3317,550,444,9,0
355,9001,11051,1435,25,1
356,1734,16381,2302,10,1
357,19120,4617,328,10,1
358,1509,6639,715,0,1
359,17325,17922,684,12,0
360,14475,1276,348,21,1
361,1837,7288,791,77,1
362,17773,3467,70,14,1
363,3003,10924,1435,0,1
364,17223,16231,2302,80,1
365,15187,21262,2267,532,0
366,10019,243,304,1000,0
367,7684,16300,2302,10,1
368,6545,7222,741,955,1
369,17054,15951,2259,81,1
370,21148,12684,1622,52,1
371,16065,15317,2177,93,1
372,7167,2493,1668,57,1
373,4215,17750,509,49,0
374,11293,17262,2328,123,1
375,6725,15202,2151,52,1
376,6380,2281,1238,181,0
377,20905,14692,2046,31,1
378,21104,5597,704,64,1
379,13668,14263,1907,10,1
380,11827,20482,1812,11,0
381,16294,7459,901,60,1
382,3366,4796,407,43,1
384,18242,3115,2385,1,1
385,5649,19612,1485,19,0
386,5320,20499,1812,16,0
387,19734,10807,1411,35,1
388,11406,8602,1194,46,1
389,14303,6969,715,34,1
390,7954,18944,1307,19,0
391,10586,16261,2302,72,1
392,1691,9839,1354,27,1
393,15347,12700,1622,52,1
394,20810,14512,1991,49,1
395,9507,21280,2289,68,0
396,12078,21290,2302,0,0
397,17546,4557,328,16,1
398,12688,1101,176,14,1
399,4001,10362,1354,44,1
400,20979,5337,612,60,1
401,8327,4825,407,33,1
402,11816,6354,715,1,1
403,17069,2063,1116,15,1
404,6363,5252,575,1,1
405,15407,6988,715,51,1
406,18366,7087,715,70,1
407,5747,19503,1435,12,0
408,6224,10339,1354,14,1
409,13641,11176,1435,22,1
410,19724,11495,1442,35,0
411,19895,7983,1055,8,1
412,12838,11891,1542,10,1
413,10413,897,82,1,1
414,18561,8519,1178,28,1
415,9689,11078,1435,11,1
416,5496,562,444,7,0
417,8539,12286,1568,81,1
418,5630,1063,176,84,1
419,19134,2151,1232,53,1
420,2828,10014,1354,0,1
421,7318,1550,740,0,1
422,18277,10061,1354,43,1
423,14312,13180,1733,53,1
424,10074,6575,715,29,1
425,6930,21006,2134,3,0
426,1355,15229,2164,59,1
427,3721,10941,1435,207,1
428,19257,4379,304,2,1
429,2221,19623,1485,93,0
430,4102,14048,1853,1,1
431,15168,9926,1354,30,1
432,5985,18160,715,15,0
433,6220,18113,715,66,0
434,4904,17865,648,6,0
435,8787,14856,2057,130,1
436,17375,11676,1485,8,1
437,2049,20828,1977,1017,0
438,12979,2747,1918,2,1
439,18786,15241,2173,550,1
440,18838,20708,1871,2,0
441,661,17182,2325,49,1
442,10181,692,444,11,0
443,20896,16028,2259,20,1
444,13930,15233,2165,14,1
445,3650,6444,715,57,1
446,10909,11100,1435,43,1
447,11999,17152,2311,45,1
448,5492,1061,176,46,1
449,20546,7114,715,2,1
450,19389,4384,304,1,1
451,6805,17372,2336,26,1
452,14278,1440,652,68,1
453,18039,6697,715,48,1
454,7056,7585,990,96,1
455,11912,5377,632,219,1
456,3180,2553,1672,0,1
457,766,15785,2248,88,1
458,17965,15292,2176,246,1
459,10395,16755,2303,32,1
460,6042,13612,1733,63,1
461,20032,13104,1733,33,1
462,20575,4822,407,25,1
463,8875,11043,1435,0,1
464,20990,7991,1064,96,1
465,10504,10381,1354,1,1
466,5385,3114,2373,63,1
467,4924,20905,2007,1020,0
468,19434,21480,2308,11,0
469,3739,17226,2327,58,1
470,114,10912,1435,28,1
471,20487,7942,1044,48,1
472,17874,14139,1870,57,1
473,21047,8923,1242,51,1
474,17563,9134,1254,53,1
475,1599,1213,279,39,1
476,20458,1898,994,67,1
477,18676,14125,1870,66,1
478,15028,16458,2302,9,1
479,2790,10711,1411,38,1
480,7084,7602,991,39,1
481,9909,614,444,29,0
482,15973,10308,1354,56,1
483,2780,1980,1116,53,1
484,14422,2707,1887,44,0
485,1701,17590,2407,62,1
486,7619,20985,2085,46,0
487,17607,4327,304,70,1
488,13529,19058,1354,12,0
489,14780,11304,1435,91,1
490,19607,7440,891,2,1
491,2973,2341,1320,42,1
492,6240,3893,290,47,1
493,9446,2905,2076,68,1
494,6376,3817,247,47,1
495,14426,9906,1354,78,1
496,8231,8098,1075,1529,1
497,4580,10957,1435,25,1
498,1176,13817,1803,0,1
499,747,15018,2085,64,1
500,14662,10542,1356,13,1
501,18307,8238,1105,27,1
502,111,16507,2303,55,1
503,12307,13774,1792,47,1
504,7579,17656,2419,59,1
505,9274,10060,1354,67,1
506,3222,14315,1918,116,1
507,353,12214,1568,71,1
508,16087,6405,715,14,1
509,14192,13615,1733,61,1
510,1275,12462,1586,80,1
511,16958,803,444,10,0
512,3879,20313,1722,0,0
513,1096,16320,2302,33,1
514,18661,4361,304,120,1
515,11953,5231,575,132,1
516,10836,16767,2303,22,1
517,5257,8103,1075,0,1
518,12867,745,444,6,0
519,12339,9302,1286,75,1
520,20828,1602,805,1,1
521,15080,11315,1435,39,1
522,19336,14487,1961,2,1
523,7033,6757,715,54,1
524,18433,16154,2291,11,1
525,8865,12428,1586,15,1
526,19381,21219,2254,20,0
527,11823,16546,2303,20,1
528,16089,16842,2303,53,1
529,13227,21524,2336,13,0
530,14268,1839,972,14,1
531,13698,2610,1788,69,1
532,5273,8325,1143,47,1
533,10931,15226,2163,18,1
534,3749,21449,2303,948,0
535,1404,15107,2109,69,1
536,4350,7367,845,64,1
537,9389,15930,2259,69,1
538,9183,19435,1427,37,0
539,20716,12081,1561,80,1
540,1299,19104,1354,70,0
541,19668,6772,715,21,1
542,19337,18279,762,3,0
543,2079,20720,1876,996,0
544,21066,16942,2303,102,1
545,15987,671,444,12,0
546,5960,20615,1868,3,0
547,3133,16462,2302,14,1
548,14117,16142,2286,38,1
549,6176,6267,715,0,1
550,8968,18881,1284,6,0
551,18338,17351,2336,3,1
552,21306,19557,1437,7,0
553,11980,1944,1046,63,1
554,8878,419,444,184,0
555,18836,2943,2142,7,1
556,5724,5577,704,0,1
557,12695,13775,1792,97,1
558,7816,960,140,89,1
559,2944,14793,2048,24,1
560,17137,5511,686,54,1
561,2439,16616,2303,16,1
562,9113,14912,2058,35,1
563,11417,7435,887,100,1
564,4924,20900,2007,1022,0
565,11781,581,444,5,0
566,10011,18423,856,3,0
567,16569,1390,527,54,1
568,2653,2711,1891,2,1
569,7147,483,444,47,0
570,16472,1119,176,50,1
571,434,16401,2302,0,1
572,1318,8056,1075,2107,1
573,8017,15529,2225,40,1
574,3583,2165,1232,44,1
575,632,8305,1137,54,1
576,5131,9348,1286,36,1
577,6202,17279,2328,61,1
578,15961,16236,2302,1,1
579,19145,290,304,6,0
580,4491,10184,1354,38,1
581,12663,8990,1250,74,1
582,17650,4330,304,39,1
583,16177,11350,1435,58,1
584,16247,19120,1354,3,0
585,982,12726,1630,54,1
586,16883,20281,1680,933,0
587,17785,11258,1435,50,1
588,10063,9491,1311,52,1
589,19300,4381,304,67,1
590,6177,3438,70,48,1
591,14950,12653,1619,165,0
592,6799,2139,1232,0,1
593,20706,10697,1411,0,1
594,15314,8909,1239,42,1
595,4247,12032,1552,56,1
596,20447,7110,715,45,1
597,4241,339,328,4,0
598,14550,4551,328,68,1
